!swp_3_tablea_for_WSIDI_training
! output file swp_3_tablea_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2013DRR_081413_Future.xls
swp_3_tablea_training
contractor       percent          TableA
                1              100            35.75
                2              100            42.65
                3              100            42.00
                4              100           141.40
                5              100            12.70
                6              100            82.50
                7              100             9.60
                8              100           128.45
                9              100            27.50
               10              100             9.31
               11              100             5.80
               12              100            43.85
               13              100            50.34
               14              100             2.00
               15              100           134.60
               16              100           620.87
               17              100            92.73
               18              100            59.13
               19              100            75.41
               20              100             2.30
               21              100           280.07
               22              100             0.00
               23              100           569.35
               24              100           725.95
               25              100           136.13
               26              100            82.80
               27              100            29.03
               28              100             5.70
               29              100            21.30
               30              100            91.20
               31              100            28.80
               32              100            17.30
               33              100            25.00
               34              100            45.49
               35              100           100.00
               36              100            47.51
               37              100            88.92
               38              100             3.15
               39              100            16.85
                1               50            35.75
                2               50            42.65
                3               50            42.00
                4               50           141.40
                5               50            12.70
                6               50            82.50
                7               50             9.60
                8               50           128.45
                9               50            27.50
               10               50             9.31
               11               50             5.80
               12               50            43.85
               13               50            50.34
               14               50             2.00
               15               50           134.60
               16               50           620.87
               17               50            92.73
               18               50            59.13
               19               50            75.41
               20               50             2.30
               21               50           280.07
               22               50             0.00
               23               50           569.35
               24               50           725.95
               25               50           136.13
               26               50            82.80
               27               50            29.03
               28               50             5.70
               29               50            21.30
               30               50            91.20
               31               50            28.80
               32               50            17.30
               33               50            25.00
               34               50            45.49
               35               50           100.00
               36               50            47.51
               37               50            88.92
               38               50             3.15
               39               50            16.85
                1               30            35.75
                2               30            42.65
                3               30            42.00
                4               30           141.40
                5               30            12.70
                6               30            82.50
                7               30             9.60
                8               30           128.45
                9               30            27.50
               10               30             9.31
               11               30             5.80
               12               30            43.85
               13               30            50.34
               14               30             2.00
               15               30           134.60
               16               30           620.87
               17               30            92.73
               18               30            59.13
               19               30            75.41
               20               30             2.30
               21               30           280.07
               22               30             0.00
               23               30           569.35
               24               30           725.95
               25               30           136.13
               26               30            82.80
               27               30            29.03
               28               30             5.70
               29               30            21.30
               30               30            91.20
               31               30            28.80
               32               30            17.30
               33               30            25.00
               34               30            45.49
               35               30           100.00
               36               30            47.51
               37               30            88.92
               38               30             3.15
               39               30            16.85
