!New Melones Operation Plan with (7 categories) NOAA Stan RPA and Vernalis RPA
!
stan_yr
NMF     stanf   SEWD    CSJSEWD    NMWQcap  VernMinCap
0       185.3   0       0           9999     9999
1000    185.3   0       0           9999     9999
1399.9  185.3   0       0           9999     9999
1400    234.1   0       49          9999     9999
1724    234.1   0       49          9999     9999
1799.9  234.1   0       49          9999     9999
1800    234.1   75      80          9999     9999  
1999.9  234.1   75      80          9999     9999
2000    346.7   75      80          9999     9999
2387    346.7   75      80          9999     9999
2499.9  346.7   75      80          9999     9999
2500    483.7   75      80          9999     9999
2761    483.7   75      80          9999     9999           
2999.9  483.7   75      80          9999     9999
3000    589.5   75      80          9999     9999 
6000    589.5   75      80          9999     9999
