!New Melones Operation Plan with (7 categories) NOAA Stan RPA and Vernalis RPA
!
stan_yr
NMF     stanf   SEWD    CSJSEWD    NMWQcap  VernMinCap
0	185.3   0       0          0        0
1000    185.3   0       0          9999     0
1399	185.3   0       0          9999     0
1400	234.1   0       0          9999     0
1724	234.1	0	0	   9999	    50
1999	234.1   0       0          9999     50
2000	346.7   0       0          9999     50
2387	346.7	0	0	   9999     50
2499	346.7   10      49         9999     50
2500	483.7   10      49         9999     50
2761	483.7   75	80  	   9999     9999		    
2999	483.7   75      80         9999     9999
3000	589.5	75	80	   9999     9999 
6000	589.5	75	80	   9999     9999
