! Madera_delivery_class1.table
! Madera Canal Class1 delivery distribution
! written 09.12.2002 by MBK
Madera_delivery_class1
delivery     contract_month  percent
            0               1      0.0
          800               1      0.0
          900               1      0.0
         1000               1      0.0
         1100               1      0.0
         1200               1      0.0
         1300               1      0.0
         1400               1      0.0
         1500               1      0.0
         1600               1      0.0
         1700               1      0.0
         1800               1      0.0
         1900               1      0.0
         2000               1      0.0
         2100               1      0.0
         2200               1      0.0
            0               2      0.0
          800               2      0.0
          900               2      0.0
         1000               2      0.0
         1100               2      0.0
         1200               2      0.0
         1300               2      0.0
         1400               2      0.0
         1500               2      0.0
         1600               2      0.0
         1700               2      0.0
         1800               2      0.0
         1900               2      0.0
         2000               2      0.0
         2100               2      0.0
         2200               2      0.0
            0               3      9.0
          800               3      9.0
          900               3      9.0
         1000               3      9.0
         1100               3      9.0
         1200               3      8.4
         1300               3      0.0
         1400               3      0.0
         1500               3      0.0
         1600               3      0.0
         1700               3      0.0
         1800               3      0.0
         1900               3      0.0
         2000               3      0.0
         2100               3      0.0
         2200               3      0.0
            0               4     28.0
          800               4     28.0
          900               4     28.0
         1000               4     28.0
         1100               4     27.0
         1200               4     24.0
         1300               4     22.0
         1400               4     22.0
         1500               4     20.5
         1600               4     18.0
         1700               4     16.0
         1800               4      8.0
         1900               4      8.0
         2000               4      8.0
         2100               4      8.0
         2200               4      8.0
            0               5     35.0
          800               5     35.0
          900               5     35.0
         1000               5     35.0
         1100               5     34.0
         1200               5     34.0
         1300               5     30.0
         1400               5     30.0
         1500               5     30.0
         1600               5     30.0
         1700               5     30.0
         1800               5     22.0
         1900               5     17.0
         2000               5     17.0
         2100               5     17.0
         2200               5     17.0
            0               6     24.0
          800               6     24.0
          900               6     24.0
         1000               6     24.0
         1100               6     26.0
         1200               6     27.0
         1300               6     30.0
         1400               6     30.0
         1500               6     30.0
         1600               6     30.0
         1700               6     30.0
         1800               6     30.0
         1900               6     30.0
         2000               6     30.0
         2100               6     30.0
         2200               6     30.0
            0               7      4.0
          800               7      4.0
          900               7      4.0
         1000               7      4.0
         1100               7      4.0
         1200               7      6.0
         1300               7     15.0
         1400               7     15.0
         1500               7     15.0
         1600               7     15.0
         1700               7     15.0
         1800               7     24.0
         1900               7     24.0
         2000               7     24.0
         2100               7     24.0
         2200               7     24.0
            0               8      0.0
          800               8      0.0
          900               8      0.0
         1000               8      0.0
         1100               8      0.0
         1200               8      0.3
         1300               8      2.0
         1400               8      2.0
         1500               8      2.5
         1600               8      5.0
         1700               8      7.0
         1800               8     10.0
         1900               8     15.0
         2000               8     15.0
         2100               8     15.0
         2200               8     15.0
            0               9      0.0
          800               9      0.0
          900               9      0.0
         1000               9      0.0
         1100               9      0.0
         1200               9      0.3
         1300               9      1.0
         1400               9      1.0
         1500               9      2.0
         1600               9      2.0
         1700               9      2.0
         1800               9      3.0
         1900               9      3.0
         2000               9      3.0
         2100               9      3.0
         2200               9      3.0
            0              10      0.0
          800              10      0.0
          900              10      0.0
         1000              10      0.0
         1100              10      0.0
         1200              10      0.0
         1300              10      0.0
         1400              10      0.0
         1500              10      0.0
         1600              10      0.0
         1700              10      0.0
         1800              10      0.0
         1900              10      0.0
         2000              10      0.0
         2100              10      0.0
         2200              10      0.0
            0              11      0.0
          800              11      0.0
          900              11      0.0
         1000              11      0.0
         1100              11      0.0
         1200              11      0.0
         1300              11      0.0
         1400              11      0.0
         1500              11      0.0
         1600              11      0.0
         1700              11      0.0
         1800              11      0.0
         1900              11      0.0
         2000              11      0.0
         2100              11      0.0
         2200              11      0.0
            0              12      0.0
          800              12      0.0
          900              12      0.0
         1000              12      0.0
         1100              12      0.0
         1200              12      0.0
         1300              12      0.0
         1400              12      0.0
         1500              12      0.0
         1600              12      0.0
         1700              12      0.0
         1800              12      3.0
         1900              12      3.0
         2000              12      3.0
         2100              12      3.0
         2200              12      3.0
