!Flow-Trigger Relationships for Fall Stability action for NODOS
AFRP_SAC_NODOS
month    trigger    flow
1       0       0
1     700    3250
1    2200    3500
1    2300    3750
1    2400    4000
1    2500    4250
1    2600    4500
1    2700    4750
1    2800    5000
1    2900    5250
1    3000    5500
1    3100    5750
1    3200    6000
1    4552    6000
2       0       0
2     700    3250
2    2200    3500
2    2300    3750
2    2400    4000
2    2500    4250
2    2600    4500
2    2700    4750
2    2800    5000
2    2900    5250
2    3000    5500
2    3100    5750
2    3200    6000
2    4552    6000
3       0       0
3     700    3250
3    2200    3500
3    2300    3750
3    2400    4000
3    2500    4250
3    2600    4500
3    2700    4750
3    2800    5000
3    2900    5250
3    3000    5500
3    3100    5750
3    3200    6000
3    4552    6000
4       0       0
4     700    3250
4    2200    3500
4    2300    3750
4    2400    4000
4    2500    4250
4    2600    4500
4    2700    4750
4    2800    5000
4    2900    5250
4    3000    5500
4    3100    5750
4    3200    6000
4    4552    6000
5       0       0
5     700    3250
5    2400    3250
5    2500    3500
5    2600    3750
5    2700    4000
5    2800    4250
5    2900    4500
5    3000    4500
5    3100    4500
5    3200    4500
5    3300    4500
5    4552    4500
6       0       0
6     700    3250
6    2600    3250
6    2700    3500
6    2800    3750
6    2900    4000
6    3000    4250
6    3100    4500
6    3200    4500
6    3400    4500
6    4552    4500
7       0       0
7     700    3250
7    2800    3250
7    2900    3500
7    3000    3750
7    3100    4000
7    3200    4250
7    3300    4500
7    3400    4500
7    3600    4500
7    3700    4500
7    3800    4500
7    4552    4500
8       0       0
8     700    3250
8    4552    3250
9       0       0
9     700    3250
9    4552    3250
10      0       0
10    700    3250
10   4552    3250
11      0       0
11    700    3250
11   4552    3250
12      0       0
12    700    3250
12   2200    3500
12   2300    3750
12   2400    4000
12   2500    4250
12   2600    4500
12   4552    4500
