!	99%	90%	75%	50%	<-	Exceedence	level	for	"Feb,"	"Mar,"	Apr	and	"May,"	50%	for	Jun	through	Sep
!Extension to 2003 by C. Quan-DWR
american_runoff_forecast																		
wateryear	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP										
1922	860	1892	2103	1714	816	114	15	0										
1923	1804	1731	1270	1283	525	273	171	135										
1924	341	408	404	254	41	0	0	0										
1925	793	1264	1077	827	276	48	0	0										
1926	534	982	557	447	189	70	53	38										
1927	993	1329	1027	691	31	0	0	0										
1928	712	691	631	241	31	0	0	0										
1929	439	541	459	404	31	0	0	0										
1930	606	690	542	306	31	0	0	0										
1931	440	545	417	227	56	70	58	42										
1932	1356	1445	1024	878	274	0	0	0										
1933	511	501	545	238	31	0	0	0										
1934	626	886	501	275	132	136	120	101										
1935	943	988	1110	1132	338	0	0	0
1936	842	1611	1271	776	107	0	0	0
1937	677	1133	1316	974	134	0	0	0
1938	496	1274	1408	803	31	0	0	0
1939	581	769	734	305	187	89	70	51
1940	870	1609	1590	924	318	57	11	0
1941	1358	1656	1349	1336	737	426	359	322
1942	1160	1470	1154	1179	869	247	86	34
1943	1191	1120	1086	708	175	0	0	0
1944	624	1035	850	813	333	155	105	76
1945	649	1014	1135	709	205	0	0	0
1946	1109	1256	1320	680	80	0	0	0
1947	677	815	841	527	182	171	148	122
1948	427	612	870	1221	727	229	137	100
1949	679	1008	1375	742	161	0	0	0
1950	1051	1130	1186	838	260	0	0	0
1951	1329	1382	1195	868	523	303	253	215
1952	2689	2923	3096	2294	1080	454	224	148
1953	1277	1077	1195	1216	852	439	272	228
1954	786	1053	1218	934	429	402	364	355
1955	936	1054	807	946	381	111	69	35
1956	1646	1851	1319	1077	599	107	0	0
1957	662	984	965	822	792	467	409	372
1958	900	1409	1926	1788	680	221	84	35
1959	589	979	722	487	208	73	53	39
1960	393	840	814	583	278	101	78	55
1961	500	614	751	599	358	212	203	195
1962	436	1197	1273	758	214	0	0	0
1963	1424	1257	1461	1691	1032	738	669	633
1964	939	829	794	503	277	146	104	92
1965	1275	1103	890	853	163	0	0	0
1966	1077	1197	917	558	166	70	65	50
1967	1382	1118	1297	1667	731	137	0	0
1968	943	927	765	373	50	0	0	19
1969	1731	2415	1989	1615	483	0	0	0
1970	1270	1219	1003	810	337	192	147	117
1971	1545	1372	1414	1079	547	184	72	35
1972	882	1092	566	477	31	0	0	0
1973	1048	1453	1342	891	116	0	0	0
1974	1295	1498	1923	1602	866	380	624	573
1975	600	1187	1442	1478	601	79	0	66
1976	312	457	271	154	31	0	0	0
1977	298	271	229	123	31	0	0	0
1978	1217	1496	1515	1702	965	542	448	422
1979	651	1153	1082	861	220	0	0	0
1980	773	1326	1019	745	241	0	0	0
1981	700	717	829	519	279	185	181	166
1982	1525	1415	1739	1336	333	0	0	0
1983	1494	1994	2107	2038	1005	35	0	0
1984	797	1068	761	624	43	0	0	0
1985	793	940	1109	578	135	43	25	29
1986	626	1045	763	355	31	0	0	0
1987	374	520	550	277	31	0	0	0
1988	927	821	553	587	431	380	377	362
1989	680	757	998	480	39	0	0	0
1990	531	697	456	213	271	113	106	90
1991	298	271	713	469	202	123	94	112
1992	400	852	764	531	287	320	312	298
1993	1494	2047	1793	1382	823	632	530	501
1994	605	973	661	531	320	243	236	223
1995	1803	1554	2111	1908	1243	696	363	264
1996	1196	1303	1038	882	577	291	221	183
1997	1729	1414	934	611	142	82	47	67
1998	1582	2421	2202	2099	1940	1204	934	870
1999	1068	1716	1439	1170	503	91	9	0
2000	943	1762	1302	951	694	558	507	476
2001	611	928	688	664	259	198	182	165
2002	1025	1126	1216	785	438	224	197	171
2003	727	722	619	905	315	0	0	37
